spo_id,name,service,payment
42988,Sir Joseph Cradock,NA,NA
42829,Sir John Reresby,NA,NA
29531,Major Nathaniel Darrell,NA,NA
17572,George Robins,NA,NA
36441,R. H. [Ralph Hope],NA,NA
40923,Sir Bernard Gascoigne,NA,NA
19503,Henry Wynne,NA,NA
43766,Sir Robert Robinson,NA,NA
17447,George Lodge,NA,NA
42993,Sir Joseph Jordan,NA,NA
40866,Sir Arthur Forbes,NA,NA
39522,Ropemakers at Woolwich and Chatham,NA,NA
38098,Richard Watts,NA,NA
22698,John Clarke,NA,NA
24071,John Powell,NA,NA
37517,Richard Forster,NA,NA
24053,John Pocock,NA,NA
16098,Francis Malory,NA,NA
34064,Nathaniel Osborne,NA,NA
34028,Nathaniel Darell,NA,NA
7109,Charles Whittington,NA,NA
37325,Richard Browne,NA,NA
44813,Sir William Swan,NA,NA
41619,Sir Geoffrey Shakerley,NA,NA
41619,Sir Geoffrey Shakerley,NA,NA
38812,Robert Mein,NA,NA
29990,Mark Scott,NA,NA
1500,Anthony Gilby,NA,NA
